player_name,team,height,min_year,max_year,pos_class,type,avg_box_plus_minus,avg_box_offensive_plus_minus,avg_box_defensive_plus_minus,avg_global_plus_minus,avg_offensive_global_plus_minus,avg_defensive_global_plus_minus,total_min_per,avg_offensive_rating,avg_defensive_rating,avg_defensive_points_ov_replacement,avg_defensive_stop,avg_usage_rate,avg_effective_field_goal_pct,avg_shooting_pct,avg_offensive_rebound_pct,avg_defensive_rebound_pct,avg_freethrow_made,avg_freethrow_attempted,avg_2p_made,avg_2p_attempted,avg_3p_made,avg_3p_attempted,avg_block_pct,avg_steal_pct,avg_pick,avg_offensive_reb,avg_defensive_reb,avg_total_reb,avg_assists,avg_steals,avg_blocks,avg_points_scored,avg_freethrow_pct,avg_2p_pct,avg_3p_pct,ncaa_id,cluster,PC1,PC2
Daryl Macon,Arkansas,190.5,2017,2018,Scoring PG,"Little Rock, AR",5.64527,6.650975,-1.005704,7.019195,6.550455,0.4687425,139.6,121.1303725,14982.1772,378.904511,23053.6667,23.78359599,55.74520057,62.33956304,1.852005731,9.064398281,20362.6,23370.7,11604.1,23328.8,10604.0,26053.8,27.92,4.4,0.0,61.71628,325.55436,387.27064,441.85267,150.55249,7.87651,2129.60587,0.871287552,0.497415212,0.407003969,9316,1,,
David Johnson,Louisville,195.58,2020,2021,Wing G,"Louisville, KY",4.794465,1.6436255,3.15084,4.106945,1.889727,2.217215,117.4,95.66890971,11426.87509,413.669754,13413.53695,24.59301533,49.16405451,51.01655026,4.398722317,14.37146508,3149.2,4696.0,7085.2,15448.9,2825.3,7674.2,140.16,4.3,5517.8,111.22708,465.82478,577.06015,361.98455,110.26169,30.76513,1265.65849,0.670613288,0.458621649,0.368155638,9493,1,,
Davon Reed,Miami FL,198.12,2014,2017,Wing G,"Ewing, NJ",4.6928,2.96438225,1.72841725,4.5989825,2.7318525,1.867131,263.7,110.9506636,26684.76358,905.829069,42362.65046,19.63193022,53.24262419,57.06438377,2.872468714,12.31164202,18696.6,23674.8,16865.7,35570.1,14246.4,36103.0,365.57,7.6,8438.4,180.48892,832.95035,1013.44435,458.89338,242.44092,102.59639,2875.57674,0.789725784,0.474153854,0.394604327,9717,0,,
DeAndre Liggins,Kentucky,198.12,2010,2011,Wing G,"Henderson, NV",6.0668,2.75867,3.30813,4.90921,0.9663665,3.94285,107.8,107.3070501,10260.83588,373.169694,19867.009,15.03914657,49.41521336,52.22040816,2.872541744,11.55788497,6025.4,9405.0,6626.8,14771.6,3242.8,8525.6,233.44,4.9,5713.4,63.61762,319.65592,383.27354,223.07284,115.3887,66.06094,789.16948,0.640659224,0.448617618,0.380360327,9867,1,,
DeAndre' Bembry,Saint Joseph's,198.12,2016,2016,Wing G,"Elizabeth, NJ",8.78242,4.87412,3.9083,7.87066,4.66991,3.20076,92.8,110.7,8968.75808,429.525728,27024.9376,24.5,51.3,53.91,4.3,18.0,10857.6,16518.4,18931.2,34243.2,3155.2,11878.4,232.0,2.2,1948.8,131.46976,587.73024,719.2,415.02016,131.46976,77.33024,1616.26976,0.657303371,0.552845528,0.265625,9879,2,,
DeMarcus Cousins,Kentucky,350.52,2010,2010,C,"Mobile, AL",9.60971,4.65779,4.95191,9.60263,6.16153,3.4411,58.2,113.5,4849.48008,221.658774,14111.6376,30.8,56.0,57.93,19.9,24.9,9428.4,15597.6,11931.0,21126.6,58.2,349.2,436.5,2.4,291.0,235.86132,336.9489,572.81022,58.2,56.66934,102.61824,880.65912,0.604477612,0.564738292,0.166666667,9911,2,,
DeVaughn Akoon-Purcell,Illinois St.,195.58,2016,2016,Wing G,"Orlando, FL",0.332924,-0.579055,0.911979,2.24108,1.81801,0.423068,70.0,95.0,6849.535,215.46,11243.12,29.7,45.2,50.39,6.3,13.9,7770.0,10850.0,9380.0,19950.0,1260.0,4970.0,126.0,2.0,0.0,112.903,232.582,345.485,124.194,67.739,29.358,977.739,0.716129032,0.470175439,0.253521127,9949,1,,
Deandre Ayton,Arizona,215.9,2018,2018,C,"Nassau, Bahamas",8.87378,5.44671,3.42708,9.88743,7.97789,1.90954,82.5,126.7,8040.78,338.480175,21927.0975,26.2,62.5,64.98,13.5,28.2,11550.0,15757.5,21780.0,34320.0,990.0,2887.5,503.25,1.0,82.5,278.1405,676.5,954.6405,134.3595,47.1405,155.57025,1659.42975,0.732984293,0.634615385,0.342857143,9977,2,,
Demetrius Jackson,Notre Dame,185.42,2014,2016,Scoring PG,"Mishawaka, IN",4.306074,4.427459333,-0.121388333,3.738049333,3.302272,0.435777333,223.4,116.3725157,24231.9644,651.718937,38444.9981,20.38979409,54.32470904,58.3495479,3.581423456,8.250313339,19182.9,24498.9,23275.8,44018.4,10584.6,28005.1,156.65,6.0,10053.0,201.41334,516.03046,717.4438,764.25294,259.84784,53.52051,2738.90282,0.783010666,0.528774331,0.377952587,10191,0,,
Deng Adel,Louisville,200.66,2016,2018,Wing G,"Melbourne, Australia",2.23773,0.950446667,1.287287,3.257726333,1.669286667,1.588439,171.0,107.0232164,17067.9931,615.35199,27807.855,21.54830409,50.11824561,54.27815205,2.678479532,14.22660819,13728.9,17631.0,17407.6,35602.2,7191.1,20577.7,187.06,3.7,0.0,110.12596,656.44958,766.5683,380.41585,97.36165,52.24474,2118.78639,0.778679598,0.488947312,0.349460824,10234,1,,
"Dennis Smith, Jr.",N.C. State,190.5,2017,2017,Scoring PG,"Fayetteville, NC",6.34615,5.77571,0.570446,5.96061,5.21933,0.741281,86.4,109.5,9324.9792,279.502272,18998.496,28.2,52.0,56.31,2.7,11.5,12355.2,17280.0,11750.4,23068.8,4752.0,13219.2,103.68,3.1,777.6,70.2,324.0,394.2,531.89568,167.4,37.8,1566.0,0.715,0.509363296,0.359477124,10280,1,,
Denzel Valentine,Michigan St.,195.58,2013,2016,Pure PG,"Lansing, MI",8.785195,5.6646525,3.12055,8.099745,5.1725675,2.92717,277.9,111.5707809,26536.19724,1074.688192,55913.1716,22.74314502,53.29748111,55.8627384,4.65570349,18.40809644,16153.0,20581.2,22366.5,47282.7,19729.5,47988.3,308.62,7.9,3890.6,300.02866,1399.03051,1699.05192,1309.49162,258.16272,75.78552,3405.96089,0.784842478,0.473037707,0.411131463,10321,0,,
