player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,pos_class
Patrick Bouli,Manhattan,MAAC,31,70.9,99.1,10,47.2,50.96,1.4,13.2,13.8,23.3,20,22,0.909,16,42,0.381,28,81,0.346,0.6,2.9,17.9,Sr,2-Jun,10,-0.0908168,84.8003,3.1,2010,43,"Woodstock, VA",,1.85721894,6,14,10,28,0.4286,0.3571,0,0,,,98.1056,99.7678,2.63204,168.511,1.87334,-0.291661,2.16501,-0.58847,28.4839,-2.6163,2.02783,0.3871,3.3226,3.7097,2.0968,1.4194,0.1613,4.3871,Combo G
Antoine Pearson,Manhattan,MAAC,31,59,97,20.3,42.8,48.18,1.6,9.1,18.8,15.8,72,110,0.655,64,150,0.427,15,52,0.288,0.3,3.1,54.5,Sr,2-Jun,14,0.977587,97.6531,3,2010,45,"Oyster Bay, NY",,1.65000382,49,93,15,57,0.5269,0.2632,0,0,,,100.002,101.696,2.03284,129.419,-0.187978,0.0652904,-0.253269,-0.167219,23.7097,-1.04192,0.874702,0.3548,1.9032,2.2581,2.129,1.2258,0.0645,7.9032,Scoring PG
Chris Harris,Navy,Pat,30,86.2,98.6,30.3,44.3,51.9,0.8,7.4,13.1,15.4,178,204,0.873,95,255,0.373,88,257,0.342,0.3,3.2,39.8,Sr,2-Jun,5,2.57865,107.282,3.2,2010,47,,,0.63638225,59,133,36,122,0.4436,0.2951,0,0,,,103.503,107.406,2.28431,195.695,-1.82331,0.894084,-2.71739,0.765581,34.9,1.7243,-0.958724,0.2667,2.2333,2.5,1.8667,2,0.1,21.0667,Combo G
T.J. Topercer,Navy,Pat,28,27.4,73.6,14.9,39.7,42.47,4.8,13.9,5.8,30.3,9,13,0.692,15,24,0.625,8,44,0.182,0,1.7,19.1,Sr,7-Jun,21,-0.819064,65.6983,6.8,2010,49,"New Hampton, NH",14.2,0.37032046,15,18,0,6,0.8333,0,0,0,,,103.781,107.786,0.765657,61.4719,-7.07418,-5.32843,-1.74575,-8.49215,11.8929,-7.26593,-1.22621,0.5357,1.4286,1.9643,0.3571,0.3571,0,2.25,Stretch 4
Brandon Adams,Manhattan,MAAC,27,51,102.7,18,44,50.28,9.8,13.5,7.2,15.4,58,82,0.707,64,147,0.435,1,2,0.5,4.5,2.4,55,Sr,6-Jun,32,1.18656,100.33,6.2,2010,51,"Kent, CT",,0.73332738,41,87,23,60,0.4713,0.3833,7,9,0.7778,,96.9976,97.8898,2.32448,126.658,2.24404,-0.333583,2.57762,-0.513346,23.5185,-1.57037,1.05702,2.1852,2.8148,5,0.8148,0.963,0.963,7,PF/C
Darryl Crawford,Manhattan,MAAC,31,83,100.6,25.5,44.1,49.96,5.7,15.3,15.5,15,123,165,0.745,136,304,0.447,21,76,0.276,1.5,2.1,43.4,Sr,5-Jun,24,2.5237,107.637,2.7,2010,52,"Bronx, NY",,1.02984319,81,136,55,168,0.5956,0.3274,5,5,1,,98.6922,100.364,3.01045,192.421,1.95956,1.41588,0.543675,2.44659,33.3226,2.67955,-0.232957,1.8065,4.5161,6.3226,2.2258,1.1613,0.4516,14.7742,Wing G
Jabari Deshields,Alabama A&M,SWAC,22,45.2,63.1,18.4,26.9,33.51,3.9,6.8,25.7,37.3,23,40,0.575,12,57,0.211,6,21,0.286,0.5,2.9,51.3,Jr,10-May,12,-1.63999,59.5811,4.9,2010,55,,,1,5,24,7,33,0.2083,0.2121,0,0,,,99.3713,110.226,1.02122,71.2971,-9.9199,-7.00485,-2.91505,-10.8933,18.1818,-8.21656,-2.67672,0.7273,1.1364,1.8636,2.2727,0.9545,0.0909,2.9545,Pure PG
Charles Jenkins,Hofstra,CAA,33,91.5,109.4,28.1,49.8,55.28,3.2,10.1,24.9,17.7,167,208,0.803,170,375,0.453,62,153,0.405,1.5,2.8,39.4,Jr,3-Jun,22,4.51328,121.275,2.9,2010,57,"Springfield Gardens, NY",,1.2476272,86,133,78,227,0.6466,0.3436,2,2,1,44,98.4249,97.5968,3.66979,216.649,4.67981,4.3521,0.32771,7.51246,37,5.93298,1.57948,1.1515,3.4545,4.6061,3.9697,1.8182,0.5455,21,Scoring PG
Pierre Curtis,James Madison,CAA,33,84.9,107.6,16.3,46.3,56.76,2.8,9,23,23.6,116,142,0.817,57,126,0.452,20,62,0.323,0.6,2.5,75.5,Sr,3-Jun,51,1.87805,101.655,2.5,2010,60,"Wilson, NC",24.8,1.89042079,38,61,19,64,0.623,0.2969,0,0,,,104.443,104.855,2.55195,187.76,0.0261618,0.780339,-0.754177,-0.431151,33.9697,-0.55711,0.12596,0.7879,2.8485,3.6364,4.1818,1.4545,0.2121,8.7879,Scoring PG
Greg Washington,Hofstra,CAA,32,59.9,97.1,16,44.1,47.03,9.9,15.9,5.9,18.9,32,45,0.711,90,203,0.443,0,1,0,11.6,1.4,22.1,Jr,10-Jun,32,0.54332,92.0593,5.3,2010,61,"Winchendon, MA",,0.57142857,35,49,51,143,0.7143,0.3566,14,18,0.7778,,93.634,92.9977,2.87307,173.162,3.9062,-2.12815,6.03435,1.26474,25,-1.73471,2.99945,2.4062,3.6875,6.0938,0.75,0.625,2.8125,6.625,C
Matt Parker,James Madison,CAA,27,21.7,87.9,16.2,45.2,45.32,2.9,9.8,6.9,19,1,2,0.5,8,19,0.421,20,65,0.308,2.6,0.8,2.4,Sr,8-Jun,31,-0.0918735,83.232,6,2010,62,"Statesville, NC",29,0.6666667,6,8,2,10,0.75,0.2,1,1,1,,106.295,106.645,0.732528,43.9181,-5.16125,-2.68713,-2.47413,-5.51259,10.6296,-3.865,-1.64759,0.2593,0.963,1.2222,0.3704,0.1481,0.2963,2.8519,Stretch 4
Evan Neisler,Drexel,CAA,31,44.8,98.7,14.7,60.9,63.56,10.1,17.1,1.5,30.9,36,52,0.692,53,87,0.609,0,0,0,2.5,1.3,59.8,Sr,8-Jun,33,0.359802,91.3259,6.1,2010,72,,,0.09299978,44,64,9,23,0.6875,0.3913,15,15,1,,96.857,95.1413,2.01404,106.107,-1.37984,-2.82713,1.44729,-1.80437,18.5806,-3.01098,1.20661,1.7419,2.7419,4.4839,0.129,0.3871,0.4516,4.5806,C
Moussa Camara,Binghamton,AE,29,75.8,101.9,19.1,47.3,51.64,3,7.8,5.3,15.9,66,89,0.742,56,120,0.467,43,135,0.319,0.3,1.5,34.9,Jr,5-Jun,1,1.41156,99.1373,2.3,2010,79,"Simi Valley, CA",,0.48833288,43,63,13,57,0.6825,0.2281,6,6,1,,110.437,112.606,1.46253,121.208,-3.69708,-0.0279652,-3.66911,-2.69792,30.5862,-0.269946,-2.42798,0.7586,2.1034,2.8621,0.7241,0.7241,0.069,10.5862,Wing G
